#This map is createrd by MapFileWriter
<e> cube cube cube1 100.0 3.4663596 10.0 1.0 false
<e> null grassObject grassObjAtlas 405.0 13.548695 230.0 2.4002202 true
<e> null grassObject grassObjAtlas 410.0 14.919874 230.0 2.5099936 true
<e> null grassObject grassObjAtlas 410.0 14.919874 230.0 2.5099936 true
<e> null grassObject grassObjAtlas 415.0 17.034105 230.0 1.72927 true
<e> null grassObject grassObjAtlas 415.0 17.034105 230.0 1.72927 true
<e> null grassObject grassObjAtlas 420.0 20.240543 230.0 2.5876584 true
<e> null grassObject grassObjAtlas 420.0 20.240543 230.0 2.5876584 true
<e> null grassObject grassObjAtlas 425.0 22.470964 230.0 2.0916474 true
<e> null grassObject grassObjAtlas 425.0 22.470964 230.0 2.0916474 true
<e> null grassObject grassObjAtlas 430.0 23.575956 230.0 2.2332487 true
<e> null grassObject grassObjAtlas 430.0 23.575956 230.0 2.2332487 true
<e> null grassObject grassObjAtlas 435.0 24.539024 230.0 2.1631775 true
<e> null grassObject grassObjAtlas 435.0 24.539024 230.0 2.1631775 true
<e> null grassObject grassObjAtlas 440.0 25.12149 230.0 1.6415544 true
<e> null grassObject grassObjAtlas 440.0 25.12149 230.0 1.6415544 true
<e> null grassObject grassObjAtlas 445.0 24.028187 230.0 2.245738 true
<e> null grassObject grassObjAtlas 445.0 24.028187 230.0 2.245738 true
<e> null grassObject grassObjAtlas 450.0 21.665928 230.0 2.5474918 true
<e> null grassObject grassObjAtlas 450.0 21.665928 230.0 2.5474918 true
<e> null grassObject grassObjAtlas 455.0 18.706684 230.0 2.5140421 true
<e> null grassObject grassObjAtlas 455.0 18.706684 230.0 2.5140421 true
<e> null grassObject grassObjAtlas 460.0 16.075352 230.0 1.4768324 true
<e> null grassObject grassObjAtlas 460.0 16.075352 230.0 1.4768324 true
<e> null grassObject grassObjAtlas 465.0 14.213339 230.0 1.500628 true
<e> null grassObject grassObjAtlas 465.0 14.213339 230.0 1.500628 true
<e> null grassObject grassObjAtlas 470.0 13.418594 230.0 2.0058017 true
<e> null grassObject grassObjAtlas 470.0 13.418594 230.0 2.0058017 true
<e> null grassObject grassObjAtlas 475.0 12.532833 230.0 2.9079468 true
<e> null grassObject grassObjAtlas 475.0 12.532833 230.0 2.9079468 true
<e> null grassObject grassObjAtlas 480.0 11.150532 230.0 1.9228714 true
<e> null grassObject grassObjAtlas 480.0 11.150532 230.0 1.9228714 true
<e> null grassObject grassObjAtlas 485.0 9.832985 230.0 1.4519234 true
<e> null grassObject grassObjAtlas 485.0 9.832985 230.0 1.4519234 true
<e> null grassObject grassObjAtlas 490.0 10.426981 230.0 1.4566427 true
<e> null grassObject grassObjAtlas 490.0 10.426981 230.0 1.4566427 true
<e> null grassObject grassObjAtlas 495.0 11.920147 230.0 1.5276804 true
<e> null grassObject grassObjAtlas 495.0 11.920147 230.0 1.5276804 true
<e> null grassObject grassObjAtlas 500.0 13.013161 230.0 1.7534437 true
<e> null grassObject grassObjAtlas 500.0 13.013161 230.0 1.7534437 true
<e> null grassObject grassObjAtlas 505.0 13.004709 230.0 2.0472012 true
<e> null grassObject grassObjAtlas 505.0 13.004709 230.0 2.0472012 true
<e> null grassObject grassObjAtlas 510.0 13.616402 230.0 1.7622042 true
<e> null grassObject grassObjAtlas 510.0 13.616402 230.0 1.7622042 true
<e> null grassObject grassObjAtlas 515.0 13.660849 230.0 2.3637824 true
<e> null grassObject grassObjAtlas 515.0 13.660849 230.0 2.3637824 true
<e> null grassObject grassObjAtlas 520.0 11.961643 230.0 2.5986753 true
<e> null grassObject grassObjAtlas 520.0 11.961643 230.0 2.5986753 true
<e> null grassObject grassObjAtlas 525.0 9.209459 230.0 1.3336298 true
<e> null grassObject grassObjAtlas 525.0 9.209459 230.0 1.3336298 true
<e> null grassObject grassObjAtlas 530.0 6.305108 230.0 2.5836825 true
<e> null grassObject grassObjAtlas 530.0 6.305108 230.0 2.5836825 true
<e> null grassObject grassObjAtlas 535.0 3.6684446 230.0 2.3665934 true
<e> null grassObject grassObjAtlas 535.0 3.6684446 230.0 2.3665934 true
<e> null grassObject grassObjAtlas 540.0 0.1597448 230.0 2.5296903 true
<e> null grassObject grassObjAtlas 540.0 0.1597448 230.0 2.5296903 true
<e> null grassObject grassObjAtlas 545.0 -2.5400102 230.0 2.9127774 true
<e> null grassObject grassObjAtlas 545.0 -2.5400102 230.0 2.9127774 true
<e> null grassObject grassObjAtlas 550.0 -5.38628 230.0 2.8165746 true
<e> null grassObject grassObjAtlas 550.0 -5.38628 230.0 2.8165746 true
<e> null grassObject grassObjAtlas 555.0 -7.0901127 230.0 1.8777831 true
<e> null grassObject grassObjAtlas 555.0 -7.0901127 230.0 1.8777831 true
<e> null grassObject grassObjAtlas 560.0 -7.8435717 230.0 1.462488 true
<e> null grassObject grassObjAtlas 560.0 -7.8435717 230.0 1.462488 true
<e> null grassObject grassObjAtlas 565.0 -8.146147 230.0 1.6461201 true
<e> null grassObject grassObjAtlas 565.0 -8.146147 230.0 1.6461201 true
<e> null grassObject grassObjAtlas 570.0 -8.882366 230.0 1.1516292 true
<e> null grassObject grassObjAtlas 570.0 -8.882366 230.0 1.1516292 true
<e> null grassObject grassObjAtlas 575.0 -9.763377 230.0 1.940547 true
<e> null grassObject grassObjAtlas 575.0 -9.763377 230.0 1.940547 true
<e> null grassObject grassObjAtlas 580.0 -11.347256 230.0 2.2014241 true
<e> null grassObject grassObjAtlas 580.0 -11.347256 230.0 2.2014241 true
<e> null grassObject grassObjAtlas 585.0 -11.528497 230.0 2.9067304 true
<e> null grassObject grassObjAtlas 585.0 -11.528497 230.0 2.9067304 true
<e> null grassObject grassObjAtlas 590.0 -10.120604 230.0 1.1921816 true
<e> null grassObject grassObjAtlas 590.0 -10.120604 230.0 1.1921816 true
<e> null grassObject grassObjAtlas 595.0 -7.535287 230.0 2.3708491 true
<e> null grassObject grassObjAtlas 595.0 -7.535287 230.0 2.3708491 true
<e> null grassObject grassObjAtlas 600.0 -4.8580303 230.0 1.6789973 true
<e> null grassObject grassObjAtlas 600.0 -4.8580303 230.0 1.6789973 true
<e> null grassObject grassObjAtlas 605.0 -3.8002186 230.0 2.98706 true
<e> null grassObject grassObjAtlas 605.0 -3.8002186 230.0 2.98706 true
<e> null grassObject grassObjAtlas 610.0 -3.8434577 230.0 1.5761738 true
<e> null grassObject grassObjAtlas 610.0 -3.8434577 230.0 1.5761738 true
<e> null grassObject grassObjAtlas 615.0 -2.5064692 230.0 1.3178043 true
<e> null grassObject grassObjAtlas 615.0 -2.5064692 230.0 1.3178043 true
<e> null grassObject grassObjAtlas 620.0 -1.3611215 230.0 2.7474718 true
<e> null grassObject grassObjAtlas 620.0 -1.3611215 230.0 2.7474718 true
<e> null grassObject grassObjAtlas 625.0 -1.9526396 230.0 2.1497033 true
<e> null grassObject grassObjAtlas 625.0 -1.9526396 230.0 2.1497033 true
<e> null grassObject grassObjAtlas 630.0 -3.1993709 230.0 1.6312431 true
<e> null grassObject grassObjAtlas 630.0 -3.1993709 230.0 1.6312431 true
<e> null grassObject grassObjAtlas 635.0 -3.215804 230.0 2.4494877 true
<e> null grassObject grassObjAtlas 635.0 -3.215804 230.0 2.4494877 true
<e> null grassObject grassObjAtlas 640.0 -2.6349163 230.0 1.7391963 true
<e> null grassObject grassObjAtlas 640.0 -2.6349163 230.0 1.7391963 true
<e> null grassObject grassObjAtlas 645.0 -0.9503696 230.0 1.2474644 true
<e> null grassObject grassObjAtlas 645.0 -0.9503696 230.0 1.2474644 true
<e> null grassObject grassObjAtlas 650.0 0.28836888 230.0 1.2338384 true
<e> null grassObject grassObjAtlas 650.0 0.28836888 230.0 1.2338384 true
<e> null grassObject grassObjAtlas 655.0 0.67723566 230.0 1.8711697 true
<e> null grassObject grassObjAtlas 655.0 0.67723566 230.0 1.8711697 true
<e> null grassObject grassObjAtlas 660.0 -0.17936352 230.0 2.936299 true
<e> null grassObject grassObjAtlas 660.0 -0.17936352 230.0 2.936299 true
<e> null grassObject grassObjAtlas 665.0 -1.5164734 230.0 1.8410194 true
<e> null grassObject grassObjAtlas 665.0 -1.5164734 230.0 1.8410194 true
<e> null grassObject grassObjAtlas 670.0 -2.3212585 230.0 1.7484 true
<e> null grassObject grassObjAtlas 670.0 -2.3212585 230.0 1.7484 true
<e> null grassObject grassObjAtlas 675.0 -2.7804723 230.0 1.4161726 true
<e> null grassObject grassObjAtlas 675.0 -2.7804723 230.0 1.4161726 true
<e> null grassObject grassObjAtlas 680.0 -3.2900252 230.0 2.0767806 true
<e> null grassObject grassObjAtlas 680.0 -3.2900252 230.0 2.0767806 true
<e> null grassObject grassObjAtlas 685.0 -3.5655832 230.0 2.3069031 true
<e> null grassObject grassObjAtlas 685.0 -3.5655832 230.0 2.3069031 true
<e> null grassObject grassObjAtlas 690.0 -2.916541 230.0 1.1902206 true
<e> null grassObject grassObjAtlas 690.0 -2.916541 230.0 1.1902206 true
<e> null grassObject grassObjAtlas 695.0 -2.5356507 230.0 2.045248 true
<e> null grassObject grassObjAtlas 695.0 -2.5356507 230.0 2.045248 true
<e> null grassObject grassObjAtlas 700.0 -2.92907 230.0 1.0728402 true
<e> null grassObject grassObjAtlas 700.0 -2.92907 230.0 1.0728402 true
<e> null grassObject grassObjAtlas 705.0 -3.506234 230.0 2.5555148 true
<e> null grassObject grassObjAtlas 705.0 -3.506234 230.0 2.5555148 true
<e> null grassObject grassObjAtlas 710.0 -3.9471486 230.0 1.0856808 true
<e> null grassObject grassObjAtlas 710.0 -3.9471486 230.0 1.0856808 true
<e> null grassObject grassObjAtlas 715.0 -4.24964 230.0 2.748582 true
<e> null grassObject grassObjAtlas 715.0 -4.24964 230.0 2.748582 true
<e> null grassObject grassObjAtlas 720.0 -3.348403 230.0 1.228611 true
<e> null grassObject grassObjAtlas 720.0 -3.348403 230.0 1.228611 true
<e> null grassObject grassObjAtlas 725.0 -2.051519 230.0 1.6682853 true
<e> null grassObject grassObjAtlas 725.0 -2.051519 230.0 1.6682853 true
<e> null grassObject grassObjAtlas 730.0 -1.0744106 230.0 2.8961306 true
<e> null grassObject grassObjAtlas 730.0 -1.0744106 230.0 2.8961306 true
<e> null grassObject grassObjAtlas 735.0 0.31835395 230.0 2.565233 true
<e> null grassObject grassObjAtlas 735.0 0.31835395 230.0 2.565233 true
<e> null grassObject grassObjAtlas 740.0 1.2266814 230.0 2.4182994 true
<e> null grassObject grassObjAtlas 740.0 1.2266814 230.0 2.4182994 true
<e> null grassObject grassObjAtlas 745.0 2.378979 230.0 2.0151 true
<e> null grassObject grassObjAtlas 745.0 2.378979 230.0 2.0151 true
<e> null grassObject grassObjAtlas 750.0 3.013027 230.0 2.3267674 true
<e> null grassObject grassObjAtlas 750.0 3.013027 230.0 2.3267674 true
<e> null grassObject grassObjAtlas 755.0 4.717547 230.0 2.118015 true
<e> null grassObject grassObjAtlas 755.0 4.717547 230.0 2.118015 true
<e> null grassObject grassObjAtlas 760.0 6.324228 230.0 2.9220572 true
<e> null grassObject grassObjAtlas 760.0 6.324228 230.0 2.9220572 true
<e> null grassObject grassObjAtlas 765.0 7.5286827 230.0 2.227529 true
<e> null grassObject grassObjAtlas 765.0 7.5286827 230.0 2.227529 true
<e> null grassObject grassObjAtlas 770.0 8.882789 230.0 2.3594384 true
<e> null grassObject grassObjAtlas 770.0 8.882789 230.0 2.3594384 true
<e> null grassObject grassObjAtlas 775.0 9.926617 230.0 2.4075356 true
<e> null grassObject grassObjAtlas 775.0 9.926617 230.0 2.4075356 true
<e> null grassObject grassObjAtlas 780.0 11.569766 230.0 2.9157393 true
<e> null grassObject grassObjAtlas 780.0 11.569766 230.0 2.9157393 true
<e> null grassObject grassObjAtlas 785.0 13.51412 230.0 1.7803667 true
<e> null grassObject grassObjAtlas 785.0 13.51412 230.0 1.7803667 true
<e> null grassObject grassObjAtlas 790.0 15.603817 230.0 2.4283748 true
<e> null grassObject grassObjAtlas 790.0 15.603817 230.0 2.4283748 true
<e> null grassObject grassObjAtlas 795.0 17.593456 230.0 2.5173101 true
<e> null grassObject grassObjAtlas 795.0 17.593456 230.0 2.5173101 true
<e> null grassObject grassObjAtlas 0.0 -2.920333 235.0 1.9720329 true
<e> null grassObject grassObjAtlas 0.0 -2.920333 235.0 1.9720329 true
<e> null grassObject grassObjAtlas 5.0 -2.5642192 235.0 1.873433 true
<e> null grassObject grassObjAtlas 5.0 -2.5642192 235.0 1.873433 true
<e> null grassObject grassObjAtlas 10.0 -3.3924184 235.0 1.8004405 true
<e> null grassObject grassObjAtlas 10.0 -3.3924184 235.0 1.8004405 true
<e> null grassObject grassObjAtlas 15.0 -5.1494293 235.0 2.3525667 true
<e> null grassObject grassObjAtlas 15.0 -5.1494293 235.0 2.3525667 true
<e> null grassObject grassObjAtlas 20.0 -7.3026023 235.0 1.354266 true
<e> null grassObject grassObjAtlas 20.0 -7.3026023 235.0 1.354266 true
<e> null grassObject grassObjAtlas 25.0 -10.294983 235.0 2.8075511 true
<e> null grassObject grassObjAtlas 25.0 -10.294983 235.0 2.8075511 true
<e> null grassObject grassObjAtlas 30.0 -12.341514 235.0 1.926559 true
<e> null grassObject grassObjAtlas 30.0 -12.341514 235.0 1.926559 true
<e> null grassObject grassObjAtlas 35.0 -13.905391 235.0 1.5685695 true
<e> null grassObject grassObjAtlas 35.0 -13.905391 235.0 1.5685695 true
<e> null grassObject grassObjAtlas 40.0 -14.801227 235.0 1.3705366 true
<e> null grassObject grassObjAtlas 40.0 -14.801227 235.0 1.3705366 true
<e> null grassObject grassObjAtlas 45.0 -15.512022 235.0 1.1130581 true
<e> null grassObject grassObjAtlas 45.0 -15.512022 235.0 1.1130581 true
<e> null grassObject grassObjAtlas 50.0 -16.18123 235.0 1.2985597 true
<e> null grassObject grassObjAtlas 50.0 -16.18123 235.0 1.2985597 true
<e> null grassObject grassObjAtlas 55.0 -14.931388 235.0 1.4399834 true
<e> null grassObject grassObjAtlas 55.0 -14.931388 235.0 1.4399834 true
<e> null grassObject grassObjAtlas 60.0 -14.478896 235.0 2.6046283 true
<e> null grassObject grassObjAtlas 60.0 -14.478896 235.0 2.6046283 true
<e> null grassObject grassObjAtlas 65.0 -14.928832 235.0 2.3161654 true
<e> null grassObject grassObjAtlas 65.0 -14.928832 235.0 2.3161654 true
<e> null grassObject grassObjAtlas 70.0 -15.615362 235.0 1.1757613 true
<e> null grassObject grassObjAtlas 70.0 -15.615362 235.0 1.1757613 true
<e> null grassObject grassObjAtlas 75.0 -15.466615 235.0 2.5810084 true
<e> null grassObject grassObjAtlas 75.0 -15.466615 235.0 2.5810084 true
<e> null grassObject grassObjAtlas 80.0 -15.027505 235.0 1.4515095 true
<e> null grassObject grassObjAtlas 80.0 -15.027505 235.0 1.4515095 true
<e> null grassObject grassObjAtlas 85.0 -15.039629 235.0 1.4179378 true
<e> null grassObject grassObjAtlas 85.0 -15.039629 235.0 1.4179378 true
<e> null grassObject grassObjAtlas 90.0 -15.780216 235.0 1.4381903 true
<e> null grassObject grassObjAtlas 90.0 -15.780216 235.0 1.4381903 true
<e> null grassObject grassObjAtlas 95.0 -17.235708 235.0 2.1467178 true
<e> null grassObject grassObjAtlas 95.0 -17.235708 235.0 2.1467178 true
<e> null grassObject grassObjAtlas 100.0 -18.416336 235.0 1.0590378 true
<e> null grassObject grassObjAtlas 100.0 -18.416336 235.0 1.0590378 true
<e> null grassObject grassObjAtlas 105.0 -18.689688 235.0 2.912611 true
<e> null grassObject grassObjAtlas 105.0 -18.689688 235.0 2.912611 true
<e> null grassObject grassObjAtlas 110.0 -17.920345 235.0 2.778408 true
<e> null grassObject grassObjAtlas 110.0 -17.920345 235.0 2.778408 true
<e> null grassObject grassObjAtlas 115.0 -17.35302 235.0 1.429236 true
<e> null grassObject grassObjAtlas 115.0 -17.35302 235.0 1.429236 true
<e> null grassObject grassObjAtlas 120.0 -16.59455 235.0 2.5138228 true
<e> null grassObject grassObjAtlas 120.0 -16.59455 235.0 2.5138228 true
<e> null grassObject grassObjAtlas 125.0 -14.863841 235.0 1.4864234 true
<e> null grassObject grassObjAtlas 125.0 -14.863841 235.0 1.4864234 true
<e> null grassObject grassObjAtlas 130.0 -13.303514 235.0 2.4615026 true
<e> null grassObject grassObjAtlas 130.0 -13.303514 235.0 2.4615026 true
<e> null grassObject grassObjAtlas 135.0 -11.378044 235.0 2.6080914 true
<e> null grassObject grassObjAtlas 135.0 -11.378044 235.0 2.6080914 true
<e> null grassObject grassObjAtlas 140.0 -9.48893 235.0 1.9080266 true
<e> null grassObject grassObjAtlas 140.0 -9.48893 235.0 1.9080266 true
<e> null grassObject grassObjAtlas 145.0 -7.0742836 235.0 1.4150867 true
<e> null grassObject grassObjAtlas 145.0 -7.0742836 235.0 1.4150867 true
<e> null grassObject grassObjAtlas 150.0 -5.087404 235.0 1.9628718 true
<e> null grassObject grassObjAtlas 150.0 -5.087404 235.0 1.9628718 true
<e> null grassObject grassObjAtlas 155.0 -3.043553 235.0 1.8222871 true
<e> null grassObject grassObjAtlas 155.0 -3.043553 235.0 1.8222871 true
<e> null grassObject grassObjAtlas 160.0 -0.9675394 235.0 2.7852087 true
<e> null grassObject grassObjAtlas 160.0 -0.9675394 235.0 2.7852087 true
<e> null grassObject grassObjAtlas 165.0 0.7459943 235.0 1.1174809 true
<e> null grassObject grassObjAtlas 165.0 0.7459943 235.0 1.1174809 true
<e> null grassObject grassObjAtlas 170.0 1.393919 235.0 1.9360149 true
<e> null grassObject grassObjAtlas 170.0 1.393919 235.0 1.9360149 true
<e> null grassObject grassObjAtlas 175.0 1.4270654 235.0 2.702337 true
<e> null grassObject grassObjAtlas 175.0 1.4270654 235.0 2.702337 true
<e> null grassObject grassObjAtlas 180.0 2.26204 235.0 2.3871536 true
<e> null grassObject grassObjAtlas 180.0 2.26204 235.0 2.3871536 true
<e> null grassObject grassObjAtlas 185.0 2.6905243 235.0 1.3251014 true
<e> null grassObject grassObjAtlas 185.0 2.6905243 235.0 1.3251014 true
<e> null grassObject grassObjAtlas 190.0 2.8101172 235.0 1.1676098 true
<e> null grassObject grassObjAtlas 190.0 2.8101172 235.0 1.1676098 true
<e> null grassObject grassObjAtlas 195.0 3.6034024 235.0 2.0337095 true
<e> null grassObject grassObjAtlas 195.0 3.6034024 235.0 2.0337095 true
<e> null grassObject grassObjAtlas 200.0 4.671977 235.0 2.1099439 true
<e> null grassObject grassObjAtlas 200.0 4.671977 235.0 2.1099439 true
<e> null grassObject grassObjAtlas 205.0 6.3200946 235.0 2.8912501 true
<e> null grassObject grassObjAtlas 205.0 6.3200946 235.0 2.8912501 true
<e> null grassObject grassObjAtlas 210.0 7.9441805 235.0 1.4447523 true
<e> null grassObject grassObjAtlas 210.0 7.9441805 235.0 1.4447523 true
<e> null grassObject grassObjAtlas 215.0 9.227971 235.0 1.3188348 true
<e> null grassObject grassObjAtlas 215.0 9.227971 235.0 1.3188348 true
<e> null grassObject grassObjAtlas 220.0 9.235478 235.0 1.6263711 true
<e> null grassObject grassObjAtlas 220.0 9.235478 235.0 1.6263711 true
<e> null grassObject grassObjAtlas 225.0 8.879632 235.0 1.3909072 true
<e> null grassObject grassObjAtlas 225.0 8.879632 235.0 1.3909072 true
<e> null grassObject grassObjAtlas 230.0 8.823341 235.0 1.589293 true
<e> null grassObject grassObjAtlas 230.0 8.823341 235.0 1.589293 true
<e> null grassObject grassObjAtlas 235.0 9.514278 235.0 2.6630263 true
<e> null grassObject grassObjAtlas 235.0 9.514278 235.0 2.6630263 true
<e> null grassObject grassObjAtlas 240.0 11.153092 235.0 2.2431045 true
<e> null grassObject grassObjAtlas 240.0 11.153092 235.0 2.2431045 true
<e> null grassObject grassObjAtlas 245.0 14.066868 235.0 2.3516784 true
<e> null grassObject grassObjAtlas 245.0 14.066868 235.0 2.3516784 true
<e> null grassObject grassObjAtlas 250.0 15.744545 235.0 1.3067985 true
<e> null grassObject grassObjAtlas 250.0 15.744545 235.0 1.3067985 true
<e> null grassObject grassObjAtlas 255.0 16.48492 235.0 2.6303759 true
<e> null grassObject grassObjAtlas 255.0 16.48492 235.0 2.6303759 true
<e> null grassObject grassObjAtlas 260.0 17.410309 235.0 2.2348666 true
<e> null grassObject grassObjAtlas 260.0 17.410309 235.0 2.2348666 true
<e> null grassObject grassObjAtlas 265.0 19.387772 235.0 1.2081637 true
<e> null grassObject grassObjAtlas 265.0 19.387772 235.0 1.2081637 true
<e> null grassObject grassObjAtlas 270.0 20.605839 235.0 2.9527354 true
<e> null grassObject grassObjAtlas 270.0 20.605839 235.0 2.9527354 true
<e> null grassObject grassObjAtlas 275.0 20.562492 235.0 1.4988811 true
<e> null grassObject grassObjAtlas 275.0 20.562492 235.0 1.4988811 true
<e> null grassObject grassObjAtlas 280.0 20.784954 235.0 1.134195 true
<e> null grassObject grassObjAtlas 280.0 20.784954 235.0 1.134195 true
<e> null grassObject grassObjAtlas 285.0 20.922388 235.0 1.8865443 true
<e> null grassObject grassObjAtlas 285.0 20.922388 235.0 1.8865443 true
<e> null grassObject grassObjAtlas 290.0 19.471275 235.0 2.8360555 true
<e> null grassObject grassObjAtlas 290.0 19.471275 235.0 2.8360555 true
<e> null grassObject grassObjAtlas 295.0 18.151634 235.0 1.6897686 true
<e> null grassObject grassObjAtlas 295.0 18.151634 235.0 1.6897686 true
<e> null grassObject grassObjAtlas 300.0 17.936775 235.0 1.2541881 true
<e> null grassObject grassObjAtlas 300.0 17.936775 235.0 1.2541881 true
<e> null grassObject grassObjAtlas 305.0 19.065924 235.0 1.303146 true
<e> null grassObject grassObjAtlas 305.0 19.065924 235.0 1.303146 true
<e> null grassObject grassObjAtlas 310.0 21.113869 235.0 1.2604384 true
<e> null grassObject grassObjAtlas 310.0 21.113869 235.0 1.2604384 true
<e> null grassObject grassObjAtlas 315.0 22.676456 235.0 2.054181 true
<e> null grassObject grassObjAtlas 315.0 22.676456 235.0 2.054181 true
<e> null grassObject grassObjAtlas 320.0 23.451815 235.0 1.0829759 true
<e> null grassObject grassObjAtlas 320.0 23.451815 235.0 1.0829759 true
<e> null grassObject grassObjAtlas 325.0 24.24701 235.0 2.0001779 true
<e> null grassObject grassObjAtlas 325.0 24.24701 235.0 2.0001779 true
<e> null grassObject grassObjAtlas 330.0 25.27151 235.0 2.146026 true
<e> null grassObject grassObjAtlas 330.0 25.27151 235.0 2.146026 true
<e> null grassObject grassObjAtlas 335.0 25.418573 235.0 2.1710966 true
<e> null grassObject grassObjAtlas 335.0 25.418573 235.0 2.1710966 true
<e> null grassObject grassObjAtlas 340.0 23.115047 235.0 2.612471 true
<e> null grassObject grassObjAtlas 340.0 23.115047 235.0 2.612471 true
<e> null grassObject grassObjAtlas 345.0 19.184895 235.0 1.6438092 true
<e> null grassObject grassObjAtlas 345.0 19.184895 235.0 1.6438092 true
<e> null grassObject grassObjAtlas 350.0 16.888231 235.0 2.7795618 true
<e> null grassObject grassObjAtlas 350.0 16.888231 235.0 2.7795618 true
<e> null grassObject grassObjAtlas 355.0 15.174776 235.0 2.8435507 true
<e> null grassObject grassObjAtlas 355.0 15.174776 235.0 2.8435507 true
<e> null grassObject grassObjAtlas 360.0 12.628893 235.0 1.1502917 true
<e> null grassObject grassObjAtlas 360.0 12.628893 235.0 1.1502917 true
<e> null grassObject grassObjAtlas 365.0 9.418249 235.0 2.1741965 true
<e> null grassObject grassObjAtlas 365.0 9.418249 235.0 2.1741965 true
<e> null grassObject grassObjAtlas 370.0 7.3761616 235.0 2.0084257 true
<e> null grassObject grassObjAtlas 370.0 7.3761616 235.0 2.0084257 true
<e> null grassObject grassObjAtlas 375.0 6.291019 235.0 1.5759435 true
<e> null grassObject grassObjAtlas 375.0 6.291019 235.0 1.5759435 true
<e> null grassObject grassObjAtlas 380.0 6.270525 235.0 1.7125742 true
<e> null grassObject grassObjAtlas 380.0 6.270525 235.0 1.7125742 true
<e> null grassObject grassObjAtlas 385.0 7.776255 235.0 1.0240217 true
<e> null grassObject grassObjAtlas 385.0 7.776255 235.0 1.0240217 true
<e> null grassObject grassObjAtlas 390.0 10.528339 235.0 1.0241334 true
<e> null grassObject grassObjAtlas 390.0 10.528339 235.0 1.0241334 true
<e> null grassObject grassObjAtlas 395.0 11.984961 235.0 2.9734035 true
<e> null grassObject grassObjAtlas 395.0 11.984961 235.0 2.9734035 true
<e> null grassObject grassObjAtlas 400.0 12.63715 235.0 2.7067182 true
<e> null grassObject grassObjAtlas 400.0 12.63715 235.0 2.7067182 true
<e> null grassObject grassObjAtlas 405.0 13.230686 235.0 2.0115654 true
<e> null grassObject grassObjAtlas 405.0 13.230686 235.0 2.0115654 true
<e> null grassObject grassObjAtlas 410.0 14.735476 235.0 2.7734447 true
<e> null grassObject grassObjAtlas 410.0 14.735476 235.0 2.7734447 true
<e> null grassObject grassObjAtlas 415.0 17.11873 235.0 1.7248955 true
<e> null grassObject grassObjAtlas 415.0 17.11873 235.0 1.7248955 true
<e> null grassObject grassObjAtlas 420.0 19.517729 235.0 1.2869407 true
<e> null grassObject grassObjAtlas 420.0 19.517729 235.0 1.2869407 true
<e> null grassObject grassObjAtlas 425.0 21.08205 235.0 2.2662807 true
<e> null grassObject grassObjAtlas 425.0 21.08205 235.0 2.2662807 true
<e> null grassObject grassObjAtlas 430.0 22.678513 235.0 1.9903119 true
<e> null grassObject grassObjAtlas 430.0 22.678513 235.0 1.9903119 true
<e> null grassObject grassObjAtlas 435.0 24.15234 235.0 2.114954 true
<e> null grassObject grassObjAtlas 435.0 24.15234 235.0 2.114954 true
<e> null grassObject grassObjAtlas 440.0 24.627508 235.0 1.5018392 true
<e> null grassObject grassObjAtlas 440.0 24.627508 235.0 1.5018392 true
<e> null grassObject grassObjAtlas 445.0 22.962646 235.0 1.8592951 true
<e> null grassObject grassObjAtlas 445.0 22.962646 235.0 1.8592951 true
<e> null grassObject grassObjAtlas 450.0 20.429852 235.0 1.8594632 true
<e> null grassObject grassObjAtlas 450.0 20.429852 235.0 1.8594632 true
<e> null grassObject grassObjAtlas 455.0 17.920448 235.0 2.8546352 true
<e> null grassObject grassObjAtlas 455.0 17.920448 235.0 2.8546352 true
<e> null grassObject grassObjAtlas 460.0 15.383537 235.0 2.1519935 true
<e> null grassObject grassObjAtlas 460.0 15.383537 235.0 2.1519935 true
<e> null grassObject grassObjAtlas 465.0 13.7137165 235.0 2.6882195 true
<e> null grassObject grassObjAtlas 465.0 13.7137165 235.0 2.6882195 true
<e> null grassObject grassObjAtlas 470.0 12.700471 235.0 1.4025117 true
<e> null grassObject grassObjAtlas 470.0 12.700471 235.0 1.4025117 true
<e> null grassObject grassObjAtlas 475.0 11.574509 235.0 1.4304724 true
<e> null grassObject grassObjAtlas 475.0 11.574509 235.0 1.4304724 true
<e> null grassObject grassObjAtlas 480.0 10.153233 235.0 2.1369658 true
<e> null grassObject grassObjAtlas 480.0 10.153233 235.0 2.1369658 true
<e> null grassObject grassObjAtlas 485.0 8.912706 235.0 2.6050892 true
<e> null grassObject grassObjAtlas 485.0 8.912706 235.0 2.6050892 true
<e> null grassObject grassObjAtlas 490.0 9.76605 235.0 1.8200403 true
<e> null grassObject grassObjAtlas 490.0 9.76605 235.0 1.8200403 true
<e> null grassObject grassObjAtlas 495.0 10.826469 235.0 2.1409378 true
<e> null grassObject grassObjAtlas 495.0 10.826469 235.0 2.1409378 true
<e> null grassObject grassObjAtlas 500.0 10.858792 235.0 2.9948814 true
<e> null grassObject grassObjAtlas 500.0 10.858792 235.0 2.9948814 true
<e> null grassObject grassObjAtlas 505.0 10.670159 235.0 1.7782257 true
<e> null grassObject grassObjAtlas 505.0 10.670159 235.0 1.7782257 true
<e> null grassObject grassObjAtlas 510.0 11.829564 235.0 2.2282076 true
